age,race
50.0,Hispanic
38.0,Hispanic
44.0,White
38.0,Black
21.0,Black
32.0,White
23.0,Black
41.0,White
41.0,Other
38.0,Hispanic
54.0,White
20.0,Native American
26.0,White
29.0,Other
47.0,White
28.0,Black
48.0,White
37.0,Asian
34.0,Black
33.0,White
36.0,White
43.0,White
32.0,Asian
29.0,White
39.0,Hispanic
16.0,Hispanic
40.0,White
21.0,White
50.0,White
19.0,Black
28.0,Native American
25.0,White
49.0,White
44.0,Hispanic
39.0,White
44.0,Black
50.0,White
57.0,White
57.0,Black
33.0,Hispanic
21.0,Hispanic
52.0,White
27.0,White
60.0,White
25.0,Black
34.0,Hispanic
22.0,White
26.0,Black
27.0,Hispanic
29.0,Hispanic
30.0,White
18.0,Hispanic
32.0,Hispanic
37.0,White
54.0,Black
50.0,White
28.0,Hispanic
59.0,White
24.0,Black
34.0,White
25.0,Hispanic
48.0,White
45.0,White
25.0,Hispanic
17.0,Black
53.0,Unknown
18.0,Hispanic
50.0,Black
36.0,White
45.0,Hispanic
42.0,White
,Black
23.0,Black
31.0,Black
18.0,Hispanic
26.0,White
57.0,White
27.0,Hispanic
41.0,Asian
33.0,White
22.0,Black
38.0,White
26.0,Hispanic
45.0,White
23.0,Hispanic
68.0,Black
56.0,White
45.0,Black
41.0,Black
33.0,Hispanic
22.0,Black
50.0,Black
52.0,Hispanic
18.0,White
35.0,White
18.0,Black
34.0,White
51.0,White
29.0,White
34.0,Native American
25.0,Black
26.0,White
33.0,Hispanic
17.0,Black
,Unknown
25.0,White
31.0,Black
25.0,White
18.0,White
55.0,White
45.0,White
25.0,Black
23.0,Black
37.0,White
33.0,Asian
27.0,Black
32.0,White
,Unknown
31.0,Black
26.0,Hispanic
32.0,White
53.0,White
19.0,Black
53.0,White
35.0,White
64.0,White
24.0,Black
33.0,White
55.0,Hispanic
17.0,Black
48.0,Hispanic
21.0,Black
22.0,Unknown
30.0,White
34.0,White
35.0,Black
32.0,White
22.0,Black
46.0,Black
27.0,Black
18.0,Hispanic
33.0,White
26.0,Hispanic
27.0,White
26.0,White
51.0,White
63.0,Black
38.0,Hispanic
25.0,Hispanic
39.0,Hispanic
41.0,Black
26.0,White
30.0,Black
33.0,Hispanic
54.0,Unknown
38.0,White
24.0,Hispanic
47.0,Black
62.0,White
30.0,White
33.0,White
23.0,Black
39.0,White
,White
46.0,White
36.0,White
66.0,White
27.0,White
40.0,White
25.0,Black
20.0,Black
43.0,Unknown
40.0,Black
33.0,White
34.0,Hispanic
27.0,Hispanic
25.0,Hispanic
37.0,Hispanic
32.0,White
25.0,Native American
38.0,White
50.0,White
70.0,Hispanic
26.0,White
,White
41.0,Black
91.0,White
,Unknown
25.0,White
24.0,Hispanic
29.0,White
40.0,White
51.0,White
30.0,Black
33.0,Hispanic
28.0,Hispanic
23.0,Black
23.0,White
20.0,Black
56.0,White
36.0,White
18.0,White
43.0,White
16.0,Hispanic
29.0,Black
25.0,White
34.0,Black
32.0,Black
32.0,Black
58.0,White
36.0,Black
25.0,White
59.0,White
25.0,Black
25.0,White
42.0,White
36.0,White
59.0,White
21.0,Black
19.0,White
45.0,Hispanic
,Unknown
42.0,White
27.0,Black
45.0,Asian
,Black
42.0,Black
24.0,Hispanic
39.0,Black
18.0,White
26.0,Hispanic
35.0,Hispanic
53.0,White
56.0,White
54.0,White
36.0,White
51.0,White
45.0,White
28.0,White
36.0,White
73.0,White
26.0,White
41.0,White
59.0,White
28.0,Black
45.0,White
27.0,White
46.0,White
,Unknown
30.0,Asian
46.0,Hispanic
47.0,Hispanic
32.0,Hispanic
65.0,White
19.0,Hispanic
22.0,White
39.0,Black
38.0,White
68.0,White
49.0,Black
37.0,Black
33.0,Asian
25.0,White
36.0,Hispanic
36.0,Unknown
30.0,White
39.0,Unknown
28.0,Black
28.0,White
25.0,White
57.0,Unknown
35.0,White
24.0,Native American
,Unknown
33.0,Black
56.0,White
56.0,White
16.0,Hispanic
47.0,White
33.0,White
32.0,White
21.0,Black
64.0,White
19.0,Black
55.0,Hispanic
,Hispanic
25.0,Hispanic
17.0,White
25.0,White
43.0,Asian
39.0,Black
24.0,White
70.0,White
15.0,Unknown
79.0,White
16.0,Black
35.0,White
24.0,Unknown
53.0,Hispanic
20.0,Hispanic
27.0,Black
57.0,Black
53.0,White
32.0,White
26.0,Black
53.0,White
32.0,Black
25.0,Hispanic
15.0,Black
59.0,White
35.0,Black
33.0,Unknown
32.0,White
49.0,White
46.0,Black
25.0,White
48.0,Black
20.0,Hispanic
,Unknown
24.0,White
18.0,Black
67.0,White
26.0,White
54.0,Unknown
15.0,White
62.0,White
24.0,Black
27.0,Black
26.0,Hispanic
32.0,Black
29.0,White
16.0,Hispanic
25.0,Black
,Unknown
39.0,White
34.0,White
36.0,White
24.0,Black
50.0,Black
50.0,White
,Hispanic
51.0,Black
30.0,White
35.0,White
46.0,White
37.0,White
41.0,Black
41.0,Hispanic
48.0,White
27.0,Black
29.0,Black
47.0,White
,Unknown
34.0,Unknown
48.0,White
41.0,White
25.0,Unknown
24.0,Hispanic
38.0,White
28.0,White
47.0,White
65.0,White
58.0,White
33.0,Black
43.0,White
24.0,Black
37.0,Hispanic
,White
21.0,Hispanic
65.0,White
59.0,White
74.0,White
24.0,White
,Hispanic
23.0,White
59.0,Hispanic
33.0,Unknown
34.0,White
30.0,White
,Unknown
,Unknown
22.0,Black
35.0,Unknown
37.0,White
20.0,Hispanic
62.0,Unknown
18.0,Hispanic
24.0,White
17.0,White
27.0,Hispanic
51.0,White
29.0,Black
34.0,Black
18.0,Asian
17.0,Black
55.0,Hispanic
44.0,White
27.0,White
66.0,White
45.0,White
47.0,Black
34.0,White
37.0,Black
54.0,White
50.0,Unknown
21.0,Hispanic
21.0,White
35.0,White
75.0,White
,White
45.0,Hispanic
30.0,Black
48.0,White
58.0,White
29.0,Black
44.0,Hispanic
82.0,White
,Unknown
53.0,White
60.0,White
19.0,Black
45.0,Hispanic
63.0,Hispanic
50.0,White
35.0,White
24.0,White
36.0,White
35.0,Black
33.0,Black
20.0,Asian
66.0,White
54.0,White
40.0,White
41.0,White
30.0,Unknown
32.0,Hispanic
24.0,Unknown
37.0,White
28.0,Unknown
48.0,Unknown
30.0,Black
64.0,White
21.0,Native American
28.0,White
,Unknown
,Unknown
40.0,White
32.0,White
50.0,White
33.0,White
37.0,Unknown
17.0,Hispanic
20.0,Unknown
34.0,Hispanic
37.0,White
,Unknown
47.0,White
20.0,Black
56.0,Black
24.0,Black
47.0,White
,Unknown
36.0,Unknown
35.0,Unknown
,Unknown
37.0,Black
45.0,Black
,Unknown
23.0,Unknown
37.0,Unknown
,Unknown
23.0,Unknown
33.0,Hispanic
23.0,Hispanic
37.0,Black
19.0,Unknown
,Unknown
53.0,Unknown
,Unknown
,Unknown
45.0,Unknown
,Unknown
28.0,Unknown
36.0,Black
32.0,Unknown
39.0,Unknown
46.0,Unknown
34.0,Black
29.0,White
53.0,Unknown
45.0,White
24.0,Hispanic
51.0,White
35.0,Unknown
27.0,Unknown
33.0,Black
,Unknown
30.0,Unknown
22.0,Unknown
,Unknown
50.0,White
28.0,Unknown
34.0,Unknown
24.0,Unknown
54.0,Unknown
26.0,Unknown
39.0,Unknown
34.0,White
27.0,Unknown
48.0,Unknown
47.0,Black
,Unknown
33.0,Unknown
40.0,Unknown
,Unknown
55.0,White
56.0,Unknown
42.0,Unknown
34.0,Unknown
29.0,Unknown
40.0,White
23.0,Unknown
,Unknown
25.0,Unknown
52.0,Unknown
43.0,Unknown
37.0,Hispanic
32.0,White
70.0,Unknown
36.0,Unknown
24.0,Unknown
24.0,Unknown
38.0,Unknown
52.0,White
27.0,Black
22.0,Unknown
42.0,Unknown
49.0,White
59.0,White
41.0,Hispanic
34.0,White
31.0,White
23.0,White
28.0,White
33.0,Unknown
16.0,Black
35.0,Unknown
,Unknown
62.0,Unknown
25.0,Black
46.0,Unknown
39.0,Black
25.0,Unknown
31.0,Unknown
,Hispanic
32.0,Unknown
31.0,Unknown
,Unknown
48.0,Unknown
28.0,Black
32.0,Black
