age,race
23.0,Black
31.0,Black
25.0,Black
25.0,Black
25.0,Black
26.0,Black
21.0,Black
19.0,Black
36.0,Black
34.0,Black
23.0,Black
19.0,Black
37.0,Black
23.0,Black
33.0,Black
48.0,Black
41.0,Black
25.0,Black
38.0,Black
29.0,Black
31.0,Black
37.0,Black
35.0,Black
28.0,Black
18.0,Black
32.0,Black
20.0,Black
24.0,Black
19.0,Black
18.0,Black
29.0,Black
21.0,Black
17.0,Black
44.0,Black
21.0,Black
63.0,Black
51.0,Black
32.0,Black
38.0,Black
21.0,Black
23.0,Black
28.0,Black
34.0,Black
19.0,Black
44.0,Black
57.0,Black
25.0,Black
26.0,Black
54.0,Black
24.0,Black
17.0,Black
50.0,Black
,Black
23.0,Black
31.0,Black
22.0,Black
68.0,Black
45.0,Black
41.0,Black
22.0,Black
50.0,Black
18.0,Black
25.0,Black
17.0,Black
31.0,Black
25.0,Black
23.0,Black
27.0,Black
31.0,Black
19.0,Black
24.0,Black
17.0,Black
21.0,Black
35.0,Black
22.0,Black
46.0,Black
27.0,Black
63.0,Black
41.0,Black
30.0,Black
47.0,Black
23.0,Black
25.0,Black
20.0,Black
40.0,Black
41.0,Black
30.0,Black
23.0,Black
20.0,Black
29.0,Black
34.0,Black
32.0,Black
32.0,Black
36.0,Black
25.0,Black
21.0,Black
27.0,Black
,Black
42.0,Black
39.0,Black
28.0,Black
39.0,Black
49.0,Black
37.0,Black
28.0,Black
33.0,Black
21.0,Black
19.0,Black
39.0,Black
16.0,Black
27.0,Black
57.0,Black
26.0,Black
32.0,Black
15.0,Black
35.0,Black
46.0,Black
48.0,Black
18.0,Black
24.0,Black
27.0,Black
32.0,Black
25.0,Black
24.0,Black
50.0,Black
51.0,Black
41.0,Black
27.0,Black
29.0,Black
33.0,Black
24.0,Black
22.0,Black
29.0,Black
34.0,Black
17.0,Black
47.0,Black
37.0,Black
30.0,Black
29.0,Black
19.0,Black
35.0,Black
33.0,Black
30.0,Black
20.0,Black
56.0,Black
24.0,Black
37.0,Black
45.0,Black
37.0,Black
36.0,Black
34.0,Black
33.0,Black
47.0,Black
27.0,Black
16.0,Black
25.0,Black
39.0,Black
28.0,Black
32.0,Black
